"","ID.name","Set"
"1","combo-12","combo"
"2","combo-2;23","combo"
"3","combo-11;1","combo"
"4","combo-13","combo"
"5","combo-6;5","combo"
"6","Prot-14","Prot"
"7","combo-10","combo"
"8","Prot-10;2","Prot"
"9","Prot-3","Prot"
"10","Prot-1;3","Prot"
"11","Prot-9","Prot"
"12","combo-2;9;1","combo"
"13","combo-2;9;2","combo"
"14","Prot-10;3","Prot"
"15","Trans-11","Trans"
"16","Trans-1;7","Trans"
"17","Trans-13","Trans"
"18","Prot-6;7","Prot"
"19","Trans-9","Trans"
"20","Trans-12","Trans"
"21","Trans-10;2","Trans"
"22","Trans-3;1","Trans"
"23","Trans-2","Trans"
"24","Prot-6;1;7;5","Prot"
"25","Trans-3;3","Trans"
